"ID" "Country" "LS" "tight" "I1" "I2" "I3" "I4" "I5" "I6" "I7" "I8" "I9" "I10" "I11" "I12" "I13" "I14"
"22" 22 2 2.837708291132 8.64591612713411 7 2 7 1 4 6 2 5 4 6 4 5 6 5
"23" 23 2 1.71042093681172 11.7901967035141 5 4 5 3 3 6 1 3 7 1 1 3 4 6
"24" 24 2 3.11661377782002 11.3313336826395 5 5 4 2 7 1 5 4 3 6 7 1 4 4
"25" 25 2 5.21945976559073 7.07579440297559 7 2 1 2 4 6 2 2 7 2 6 1 5 4
"26" 26 2 3.99466358730569 3.52142712357454 7 3 6 1 3 7 1 1 2 1 3 6 4 1
"27" 27 2 1.18498759856448 10.3440860102419 2 5 3 2 7 6 7 1 6 1 4 4 2 3
"28" 28 2 4.93254994694144 11.6148322848603 7 2 4 6 5 4 6 3 1 7 3 4 3 5
"29" 29 2 2.8439271254465 2.99979584733956 4 5 1 2 3 4 3 2 6 7 5 5 6 3
"30" 30 2 1.9064460825175 5.30582940368913 5 4 2 3 1 5 3 7 7 5 1 6 2 2
"31" 31 2 4.80850011855364 10.3235274530016 5 3 1 7 6 1 5 6 3 5 4 3 4 5
"32" 32 2 5.64729828294367 4.98424070258625 6 2 1 2 7 4 2 2 7 5 1 3 4 3
"33" 33 2 3.45188748510554 6.26235243608244 6 3 1 1 2 7 7 7 5 1 1 6 5 5
"34" 34 2 4.19177126418799 8.5935678887181 6 7 6 5 3 3 3 3 2 7 7 5 6 5
"35" 35 2 1.74159120768309 9.54912280617282 7 6 5 3 6 7 2 3 2 7 7 7 2 4
"36" 36 2 4.30511861760169 11.3018530176487 4 7 4 7 2 1 1 5 3 3 6 1 1 1
"37" 37 2 1.79192810412496 1.50923429452814 3 5 4 4 2 6 1 5 3 4 7 1 2 2
"38" 38 2 4.78281471505761 11.4242251922842 3 5 3 2 6 4 1 1 3 1 1 4 2 7
"39" 39 2 2.49733454780653 5.74957076692954 1 7 1 3 6 7 6 3 4 3 5 1 4 5
"40" 40 2 1.51029799738899 11.6276458560023 1 6 2 2 5 6 2 3 3 5 2 4 5 3
"41" 41 3 2.38571670930833 3.56142506725155 7 7 1 4 1 7 2 6 3 6 3 2 1 7
"42" 42 3 3.66531979711726 8.75714550889097 6 4 7 7 2 4 5 5 3 2 4 7 2 2
"43" 43 3 4.9302399083972 6.85591923259199 4 6 4 3 6 1 1 1 4 3 7 3 1 5
"44" 44 3 2.46318143978715 5.78754562488757 2 4 1 4 3 3 5 7 2 7 4 5 4 7
"45" 45 3 4.62008931301534 10.2164129400626 3 4 1 3 7 1 3 3 3 1 3 7 5 6
"46" 46 3 6.52809695154428 9.71327754016966 5 5 2 4 5 7 6 7 6 7 1 5 3 6
"47" 47 3 3.33998006302863 8.41300606494769 2 5 5 7 2 6 4 2 5 5 7 3 4 5
"48" 48 3 6.80572368809953 11.4496529244352 2 4 2 3 6 5 5 4 4 7 1 4 5 3
"49" 49 3 5.27869857568294 4.57556382101029 5 2 2 4 7 2 1 7 6 3 1 7 5 7
"50" 50 3 1.4669479788281 8.36991246207617 3 6 7 6 2 5 6 2 4 1 7 1 1 5
"51" 51 3 3.93678655009717 1.69544937508181 7 3 7 3 7 6 7 7 3 7 2 2 6 1
"52" 52 3 1.0183242331259 6.62878238060512 6 5 6 7 3 2 1 3 7 5 3 7 2 3
"53" 53 3 5.32604927523062 6.281345321564 3 5 2 5 2 5 4 6 1 1 6 5 1 3
"54" 54 3 4.07942831842229 4.85675164498389 1 1 1 1 7 3 7 3 7 2 3 3 3 5
"55" 55 3 4.85844920249656 1.71009665634483 7 6 5 5 6 7 3 4 2 2 5 1 5 5
"56" 56 3 6.55101748090237 10.9031067914329 3 3 3 4 5 1 5 1 7 1 6 4 1 6
"57" 57 3 6.45845376327634 4.35411788732745 2 1 7 2 2 5 2 1 6 4 5 2 2 2
"58" 58 3 3.87491744849831 6.94146375940181 2 5 4 7 1 4 1 7 7 5 7 5 6 7
"59" 59 3 6.8331142263487 11.3377791298553 7 4 7 6 2 3 1 4 6 3 5 5 2 3
"60" 60 3 1.97834507981315 1.82208087691106 4 2 2 2 7 4 5 6 2 2 1 2 5 3
"61" 61 4 4.74431632366031 1.58833357389085 7 2 5 6 7 3 6 1 4 4 2 1 5 7
"62" 62 4 6.78925447911024 7.18165874038823 2 4 1 1 4 6 7 6 3 7 1 7 6 2
"63" 63 4 1.31390698859468 2.0421618653927 5 2 2 6 2 5 4 7 5 6 2 5 4 1
"64" 64 4 1.5691226744093 8.06832689722069 7 1 7 6 3 1 5 1 4 5 2 2 6 3
"65" 65 4 6.16639323858544 2.00560888671316 7 4 1 2 3 4 6 3 5 6 3 7 7 6
"66" 66 4 1.53214247617871 9.44287842162885 2 5 3 4 5 7 6 3 7 2 7 2 4 4
"67" 67 4 6.90232090326026 7.3989013179671 1 3 7 6 6 1 3 3 3 1 3 4 1 3
"68" 68 4 4.29398945905268 4.27720739669167 3 6 6 5 2 6 6 7 6 7 1 6 1 4
"69" 69 4 4.22022560983896 2.68351953616366 6 5 7 6 6 3 4 2 3 1 1 2 1 1
"70" 70 4 5.03027552552521 8.04983296222053 2 3 3 5 1 1 4 6 6 4 3 5 6 2
"71" 71 4 2.2007583915256 5.63708724756725 6 6 3 5 6 4 5 7 6 4 7 5 1 7
"72" 72 4 1.43101144069806 10.6990957804956 1 5 4 7 6 5 5 6 4 7 6 4 3 6
"73" 73 4 5.88953053206205 4.29863602342084 2 4 2 1 5 5 6 1 7 4 2 1 4 2
"74" 74 4 5.98402317147702 3.46355466358364 4 3 6 3 1 5 3 1 7 1 4 2 1 2
"75" 75 4 1.79480087151751 3.79898901772685 3 6 1 6 1 7 7 1 6 1 1 6 5 6
"76" 76 4 6.41628147196025 1.23812086717226 3 4 6 5 6 4 4 4 3 5 1 1 6 5
"77" 77 4 4.23230521613732 8.04108822601847 3 3 2 2 7 4 5 4 2 7 4 7 5 2
"78" 78 4 4.18597664358094 4.90974438586272 4 5 7 1 4 3 3 3 6 3 3 7 4 4
"79" 79 4 4.49819001415744 5.18929414753802 7 3 3 1 5 7 4 4 1 6 2 2 1 6
"80" 80 4 6.17289364896715 6.65228768228553 2 7 7 1 7 2 3 7 5 4 5 7 2 5
"81" 81 5 1.62481759767979 3.57198712485842 2 3 6 5 4 2 3 6 4 1 7 4 1 4
"82" 82 5 6.06276999507099 5.08110245363787 5 7 1 5 4 4 5 3 5 7 2 6 4 3
"83" 83 5 5.5344684002921 6.74134061345831 4 1 6 5 6 2 7 6 7 2 4 5 3 5
"84" 84 5 5.12558982754126 5.38199841184542 7 5 2 7 3 1 3 4 4 3 6 3 1 1
"85" 85 5 3.68134119035676 5.72072288463823 5 1 2 3 1 7 5 1 4 3 5 1 2 2
"86" 86 5 3.52207283163443 5.94481363799423 5 5 6 2 6 1 5 6 3 4 3 7 3 1
"87" 87 5 5.61382279312238 5.30538401170634 2 6 6 1 4 2 7 3 2 4 2 1 6 1
"88" 88 5 3.2197330663912 10.130270433845 7 5 7 1 2 4 1 7 1 5 1 5 5 1
"89" 89 5 5.69177919346839 3.48031780519523 1 5 6 6 7 4 2 7 4 6 2 6 7 4
"90" 90 5 6.93746219854802 4.07570330100134 7 4 5 4 3 4 1 3 3 1 4 2 1 3
"91" 91 5 4.16985947312787 11.1511828675866 3 5 7 5 5 5 7 6 7 7 1 2 3 6
"92" 92 5 3.96750292554498 11.3481803250033 3 1 4 2 7 6 5 7 1 4 1 1 7 4
"93" 93 5 2.92253599688411 5.10293007991277 5 6 2 2 6 6 6 2 3 5 3 3 5 6
"94" 94 5 2.72763946745545 6.95062738494016 3 5 4 6 2 5 7 2 3 5 2 1 6 3
"95" 95 5 4.55284186406061 5.20229810848832 3 5 5 3 7 5 4 6 1 2 7 2 2 1
"96" 96 5 6.28029902232811 6.15285261836834 7 2 1 6 4 2 1 2 5 2 7 3 2 6
"97" 97 5 5.15002171183005 7.19524149270728 1 7 2 4 4 5 4 2 4 2 6 3 4 4
"98" 98 5 6.2410123241134 5.89798599202186 5 4 7 1 4 6 6 1 1 2 4 5 2 3
"99" 99 5 1.18858113698661 8.07043074071407 7 3 6 4 3 7 4 2 2 7 6 2 4 1
"100" 100 5 6.9494714695029 11.7506154389121 7 7 2 4 4 6 7 5 7 7 1 5 1 3
"101" 101 6 3.67747575836256 9.59901905292645 4 3 1 5 4 4 4 7 4 7 1 6 3 4
"102" 102 6 1.84076057747006 6.48172851512209 3 5 6 3 4 1 1 2 1 5 2 4 7 6
"103" 103 6 1.6635541273281 5.47896251617931 2 4 6 2 4 6 1 4 7 5 7 5 5 7
"104" 104 6 5.54821046348661 10.6224282137118 2 5 6 5 5 6 6 1 2 3 6 6 2 4
"105" 105 6 1.76600604876876 6.81689965096302 7 6 7 3 3 4 6 2 7 1 5 6 7 3
"106" 106 6 5.85489271394908 3.47011129488237 3 6 4 5 5 4 6 1 6 2 5 1 7 1
"107" 107 6 4.83564646961167 2.68375257658772 1 3 5 1 6 1 5 2 3 3 5 6 3 1
"108" 108 6 3.09770458145067 7.03009572671726 5 1 7 5 7 1 7 1 7 2 6 2 7 6
"109" 109 6 5.18912570131943 10.6762218554504 6 3 5 2 1 7 5 4 7 7 3 4 6 1
"110" 110 6 2.73330359859392 2.12895220867358 6 3 1 5 2 5 5 2 5 7 5 2 1 5
"111" 111 6 1.8014161977917 7.34996560006402 1 7 3 2 4 6 3 3 1 1 7 6 7 5
"112" 112 6 2.1516900123097 11.5132698817179 1 6 2 5 7 1 6 1 4 5 6 5 6 1
"113" 113 6 2.79402291262522 2.22441507689655 6 7 3 5 3 6 4 7 4 4 4 2 3 3
"114" 114 6 1.79918429115787 4.5705659694504 4 4 7 7 5 5 5 3 4 4 6 4 3 1
"115" 115 6 5.70909491740167 7.46740541653708 1 2 4 1 1 6 7 3 5 3 3 4 6 1
"116" 116 6 3.27355751488358 5.94212614465505 6 1 4 1 2 1 2 7 2 2 7 2 2 7
"117" 117 6 4.74199996516109 9.73329071351327 7 3 1 2 5 7 2 1 6 1 4 7 3 2
"118" 118 6 4.83734479825944 11.4690066997427 6 2 1 4 3 4 3 3 6 2 1 7 6 4
"119" 119 6 5.34970799600706 7.43722070776857 1 1 5 4 7 7 7 5 7 4 3 4 6 2
"120" 120 6 5.23350366111845 5.05140702193603 1 4 1 4 4 3 1 5 1 2 7 1 2 6
"121" 121 7 4.34754713531584 4.26816073828377 1 4 1 3 2 6 7 3 4 5 2 7 1 1
"122" 122 7 6.92654615268111 11.7632852355018 2 4 5 2 3 5 4 3 6 2 2 3 6 4
"123" 123 7 6.61604712437838 10.2776438933797 1 2 2 4 3 3 5 7 2 7 2 3 6 5
"124" 124 7 1.15332706458867 1.34610981377773 6 3 1 1 7 6 5 5 6 7 4 5 2 1
"125" 125 7 1.91093282587826 9.20054462994449 2 6 5 7 4 5 1 3 7 5 5 2 1 2
"126" 126 7 1.08678654814139 3.35640031984076 7 5 6 3 7 5 2 4 7 1 5 6 5 6
"127" 127 7 5.05576772196218 6.51857515377924 2 5 5 3 1 1 3 4 4 6 7 3 3 5
"128" 128 7 2.54632962169126 6.09119070251472 1 4 7 6 1 1 5 3 5 2 5 2 1 3
"129" 129 7 1.98458044882864 3.60757391201332 2 1 1 2 4 7 3 6 2 3 7 6 1 2
"130" 130 7 4.81994921015576 4.95276996237226 6 3 3 6 4 7 6 2 1 3 1 5 1 2
"131" 131 7 5.80937881069258 7.09769942425191 2 6 6 2 7 7 3 1 1 7 5 2 4 7
"132" 132 7 1.80067670438439 11.3358068289235 3 6 3 5 5 5 1 1 4 6 5 5 5 7
"133" 133 7 5.296284226235 2.37674588873051 5 4 6 5 7 5 4 7 6 2 1 3 4 7
"134" 134 7 6.64278287533671 5.55748657952063 5 6 3 1 4 2 4 2 4 4 4 2 2 2
"135" 135 7 5.43160663172603 10.2314008756075 5 6 1 3 2 5 4 7 6 7 5 6 7 1
"136" 136 7 1.07910678023472 7.77454495825805 1 3 6 2 4 5 1 3 6 3 5 4 2 5
"137" 137 7 1.94796822033823 5.87615330237895 6 3 7 3 7 4 2 7 7 5 4 3 5 2
"138" 138 7 6.7547510843724 4.11001054150984 1 3 5 7 3 6 4 5 1 3 2 3 3 6
"139" 139 7 6.47013240167871 3.06651507155038 7 4 3 1 4 5 5 6 7 3 1 4 3 1
"140" 140 7 3.77926654741168 8.83165282825939 2 7 2 6 7 6 3 5 7 2 6 4 1 6
"141" 141 8 4.54821672290564 5.84664413961582 7 3 6 1 6 2 6 5 7 4 3 6 4 4
"142" 142 8 6.2533465642482 3.05680664349347 7 3 2 6 7 5 2 6 7 5 4 4 5 1
"143" 143 8 5.32433570828289 3.08926709415391 5 2 2 5 2 1 6 2 7 6 7 6 4 2
"144" 144 8 6.35288448352367 5.80868722754531 1 3 1 4 6 1 4 2 3 6 4 4 5 4
"145" 145 8 6.79476858256385 5.5203705271706 7 5 1 6 7 3 4 7 7 1 1 7 6 7
"146" 146 8 5.22521258285269 5.09227155451663 6 4 7 5 3 5 4 3 1 6 7 5 3 4
"147" 147 8 1.26437253504992 2.74784095725045 2 1 1 3 2 1 1 7 4 4 6 6 6 7
"148" 148 8 3.31086129788309 1.95080495323054 5 5 4 1 5 5 6 7 3 5 5 4 7 7
"149" 149 8 3.08893328020349 6.44912263029255 6 1 2 1 6 4 4 7 5 3 3 7 7 6
"150" 150 8 3.38096384098753 4.68583771935664 7 2 6 6 2 1 6 2 5 5 7 1 6 1
"151" 151 8 3.124685741961 2.24522921512835 2 1 5 1 5 3 5 7 5 5 5 5 5 1
"152" 152 8 1.13309390749782 2.65733027551323 6 7 5 3 6 5 6 4 2 4 7 5 2 3
"153" 153 8 3.76703754765913 4.64637531456538 2 1 1 3 1 2 4 3 2 5 6 4 2 4
"154" 154 8 3.96352902892977 1.95311831566505 7 6 3 7 2 4 1 7 5 3 1 2 5 4
"155" 155 8 5.41773283295333 7.53811263851821 7 3 6 5 3 3 2 7 3 6 1 4 7 1
"156" 156 8 5.18559695081785 5.00441716890782 5 1 1 1 7 7 5 2 7 4 2 3 4 1
"157" 157 8 6.00714209070429 11.1870115285274 2 7 3 5 2 6 6 5 1 2 7 6 2 1
"158" 158 8 2.26992541644722 11.4521961002611 7 1 4 7 2 6 7 5 5 5 5 1 7 4
"159" 159 8 2.25441813282669 1.61870709480718 5 1 5 1 7 1 6 7 7 1 5 2 1 1
"160" 160 8 2.99832705128938 7.53021263703704 6 4 7 1 4 5 5 3 5 1 2 5 2 6
"161" 161 9 3.76942536327988 9.19067680952139 5 5 6 7 2 4 6 5 5 7 1 4 5 1
"162" 162 9 3.24579876800999 5.90340883866884 7 5 6 6 3 2 5 1 2 7 1 2 4 2
"163" 163 9 4.79091311153024 1.11641438328661 1 3 5 3 5 4 1 6 5 5 3 4 2 5
"164" 164 9 5.8343853764236 6.1881809765473 7 6 5 2 2 1 6 2 3 7 4 5 2 4
"165" 165 9 3.18067138036713 3.35941107477993 7 4 3 4 3 2 1 5 5 5 7 5 1 2
"166" 166 9 1.26545419450849 7.78389055002481 4 7 5 6 5 1 5 2 6 5 5 6 4 7
"167" 167 9 4.98701506201178 10.3792882324196 2 6 3 4 4 5 3 3 5 3 4 6 5 1
"168" 168 9 4.75907374266535 5.84507019282319 6 7 5 7 2 3 4 3 3 7 1 7 3 3
"169" 169 9 5.35398019338027 1.01983601180837 6 6 2 4 4 2 5 2 6 3 5 6 2 3
"170" 170 9 2.5768507909961 5.84187799668871 2 4 6 5 2 6 6 1 7 7 6 1 4 5
"171" 171 9 5.72492009587586 2.57079658121802 3 2 4 4 6 4 7 1 6 7 4 3 7 7
"172" 172 9 6.16350103076547 2.97548402054235 5 1 2 4 6 5 2 5 2 4 1 7 5 1
"173" 173 9 6.77910609263927 11.8888522800989 4 4 3 6 4 1 2 6 6 2 2 3 1 5
"174" 174 9 2.94782569073141 8.46708411583677 4 3 7 5 5 6 6 6 5 7 7 7 2 6
"175" 175 9 6.27839056076482 11.2203555381857 3 4 6 2 5 7 1 4 1 5 2 7 7 6
"176" 176 9 5.68012950057164 1.45984050701372 3 5 5 7 4 5 2 7 5 7 5 4 7 7
"177" 177 9 4.14868823997676 11.7490406828001 2 3 3 3 1 3 1 7 5 2 6 7 3 2
"178" 178 9 2.93694336246699 11.5648149347398 7 6 7 7 2 2 1 6 6 7 7 1 4 7
"179" 179 9 2.75645357556641 9.00350221688859 6 4 1 6 3 3 5 6 7 1 4 3 5 6
"180" 180 9 1.78460676316172 10.9779228020925 2 1 7 3 7 1 6 6 6 5 6 1 4 1
"181" 181 10 2.72253707749769 6.91405484429561 2 3 7 6 3 2 6 1 1 2 5 6 6 1
"182" 182 10 3.79909606417641 5.23106318921782 2 4 6 3 5 3 3 2 6 1 1 4 1 1
"183" 183 10 5.33618694543839 2.98505718470551 1 7 3 6 5 3 3 5 5 2 5 1 5 6
"184" 184 10 2.91543893888593 7.35322337923571 4 1 2 2 5 7 1 1 5 1 2 7 3 1
"185" 185 10 3.52339640678838 9.2507549924776 4 1 1 5 6 2 7 2 2 7 4 4 6 2
"186" 186 10 4.51329538691789 3.66117811412551 6 6 7 4 3 6 4 2 3 4 7 6 1 1
"187" 187 10 1.39889633795246 8.28850180516019 4 6 6 6 4 2 7 5 6 3 3 1 6 5
"188" 188 10 1.29029741929844 1.79121913155541 3 3 6 5 6 3 6 7 6 5 6 6 1 4
"189" 189 10 1.52393746888265 10.7475655328017 3 4 4 1 4 3 2 4 6 7 5 1 3 3
"190" 190 10 2.62979903863743 9.57886448944919 7 5 7 2 4 7 4 3 5 7 4 5 3 5
"191" 191 10 2.91958816256374 2.47451238450594 1 6 7 6 5 5 6 1 3 3 6 7 7 7
"192" 192 10 1.76894891541451 9.77282624645159 4 7 7 3 6 2 1 6 6 6 5 4 2 5
"193" 193 10 5.67712824558839 2.02015010104515 3 5 2 1 6 7 5 2 4 5 3 3 2 7
"194" 194 10 5.12484473362565 1.28463029186241 7 6 7 2 4 7 3 5 4 7 6 6 2 6
"195" 195 10 2.97840272262692 5.8653581275139 5 1 2 7 2 2 6 5 6 3 3 1 6 2
"196" 196 10 3.48623690009117 6.92695681052282 3 4 1 7 6 1 5 2 1 7 7 6 2 6
"197" 197 10 2.00665948400274 11.9508620547131 4 6 5 6 5 5 6 1 6 2 2 2 1 4
"198" 198 10 4.20123514533043 3.34171428857371 2 4 2 3 1 4 5 1 2 1 5 4 5 2
"199" 199 10 3.82276326464489 4.43927978281863 4 6 5 5 4 7 1 3 7 5 5 1 2 6
"200" 200 10 3.28164741350338 11.7722238088027 3 1 5 6 6 2 3 7 4 2 6 5 1 1
"201" 201 11 6.54870504513383 7.17453232011758 3 6 2 5 3 5 6 3 3 5 2 2 3 6
"202" 202 11 5.88747944543138 4.03151190513745 6 2 2 3 2 1 2 5 6 6 2 2 7 6
"203" 203 11 1.32582648238167 4.09504651930183 5 4 5 1 3 7 4 7 7 6 1 5 4 4
"204" 204 11 3.90871594613418 3.23544043046422 5 3 5 1 6 6 1 6 5 2 7 7 2 2
"205" 205 11 6.65724829118699 6.68461191887036 2 1 4 4 4 3 2 4 1 2 6 5 6 2
"206" 206 11 2.51601671474054 10.6450009413529 4 3 1 6 7 1 6 5 5 1 1 1 4 5
"207" 207 11 4.87877605808899 11.8542995366734 1 4 3 5 2 5 5 5 2 5 2 7 4 7
"208" 208 11 3.06297318078578 2.27292557945475 4 7 1 2 3 6 2 4 2 3 2 2 2 2
"209" 209 11 6.39806886482984 4.87064523738809 7 1 4 5 7 4 5 2 1 5 2 4 6 4
"210" 210 11 6.86792699992657 2.3693280571606 7 3 3 2 7 3 5 1 5 2 7 4 5 2
"211" 211 11 4.82196653448045 7.54302594694309 6 4 5 7 5 7 2 6 7 2 7 1 1 6
"212" 212 11 3.76120090996847 5.95598695194349 2 2 3 2 6 5 1 1 3 7 3 4 4 5
"213" 213 11 1.65296958712861 8.8648161010351 1 5 4 4 5 1 7 7 1 4 7 2 7 7
"214" 214 11 1.68659000145271 5.8154058738146 5 7 4 3 1 3 5 6 5 1 4 4 2 1
"215" 215 11 5.48616918222979 1.4377342776861 6 1 6 3 7 7 5 4 7 6 6 1 4 4
"216" 216 11 6.23095603799447 1.455109533621 3 1 4 4 7 6 2 4 7 6 7 5 4 1
"217" 217 11 4.74831627262756 4.57100661052391 4 2 7 6 2 7 2 4 4 5 5 6 6 1
"218" 218 11 5.01619126833975 7.89743960485794 1 4 5 3 6 6 2 4 5 3 5 4 1 5
"219" 219 11 3.47464305302128 10.1764973702375 5 3 5 2 6 1 7 6 2 2 2 1 2 5
"220" 220 11 5.07500333059579 9.97554345289245 6 7 6 5 2 6 5 3 3 6 5 2 2 6
"221" 221 12 1.92841927241534 7.16793182678521 7 3 2 5 5 5 5 2 5 5 7 7 7 5
"222" 222 12 5.08920827042311 7.51732713636011 3 5 3 1 6 2 6 1 5 2 1 5 5 4
"223" 223 12 2.46283677313477 6.56992662581615 3 6 6 7 1 2 6 7 3 7 1 5 3 3
"224" 224 12 3.3504239548929 6.5748701991979 3 3 3 7 1 5 3 4 5 3 1 4 6 7
"225" 225 12 5.86567119741812 11.8868009706493 6 4 1 3 1 1 6 6 7 4 4 5 7 7
"226" 226 12 1.84520146204159 5.71544683212414 3 2 5 5 1 4 6 6 1 4 3 5 7 5
"227" 227 12 5.38853485742584 2.68201234284788 6 2 3 6 7 1 4 2 7 4 2 4 5 1
"228" 228 12 6.93779856991023 1.02393963723443 2 1 5 2 2 7 6 6 1 2 1 6 2 3
"229" 229 12 6.82682315958664 10.545459111454 4 2 2 5 3 5 6 3 1 5 7 5 1 1
"230" 230 12 6.55846198555082 5.76515356753953 2 4 2 6 5 3 3 6 3 6 4 1 1 2
"231" 231 12 4.84214507229626 8.44159382279031 2 6 4 2 1 7 4 7 2 2 7 3 2 6
"232" 232 12 6.11216622544453 6.40982800815254 7 5 2 5 1 1 3 7 6 4 2 6 4 7
"233" 233 12 1.85450138617307 2.8852279772982 2 1 3 7 1 6 2 4 1 2 1 2 1 5
"234" 234 12 2.93841689126566 11.4511545216665 5 3 6 6 6 6 7 1 7 1 5 6 7 7
"235" 235 12 6.95577239757404 9.95310762058944 7 6 4 4 5 5 6 4 7 5 2 6 7 6
"236" 236 12 4.15479426505044 8.17370349937119 7 6 5 7 7 4 6 6 2 5 5 6 6 7
"237" 237 12 6.26762998104095 1.13790992484428 6 6 1 5 1 1 7 2 1 3 3 4 7 4
"238" 238 12 2.4746001525782 4.00123627856374 3 2 1 4 4 3 1 7 6 5 5 2 2 5
"239" 239 12 4.35531161911786 1.81165228015743 2 4 6 5 5 5 1 6 4 1 3 7 3 5
"240" 240 12 5.41581021575257 7.3132325427141 2 1 5 3 7 5 6 2 1 5 2 7 2 7
"241" 241 13 3.90134610189125 5.88325455947779 3 1 5 5 1 6 1 7 5 3 7 5 2 4
"242" 242 13 3.05896182684228 10.3939736387692 2 3 4 3 7 6 5 2 2 1 6 5 1 3
"243" 243 13 4.7453704639338 1.149529726943 6 5 6 1 3 1 5 1 1 5 7 3 6 3
"244" 244 13 4.18158071534708 1.39931527501903 6 6 1 6 5 2 5 4 3 1 7 7 3 3
"245" 245 13 6.77403404237702 1.34476910717785 3 6 4 7 5 6 3 6 1 1 2 2 4 1
"246" 246 13 3.61241128947586 1.90439857845195 2 4 3 5 3 5 2 5 2 7 1 4 1 3
"247" 247 13 1.92611199989915 10.4494543988258 6 2 3 7 6 2 3 1 3 3 6 5 2 4
"248" 248 13 3.9876455035992 8.83544476074167 6 5 1 2 7 5 5 7 1 7 7 4 1 4
"249" 249 13 4.30193008575588 6.0407515228726 3 4 5 7 4 5 6 4 1 4 7 6 7 5
"250" 250 13 5.2322543496266 3.3639698936604 5 2 6 5 3 5 6 4 4 5 2 1 7 1
"251" 251 13 3.76144421705976 4.0465969000943 1 7 1 3 1 3 7 1 5 2 6 5 1 3
"252" 252 13 5.35520549071953 3.93588269106112 6 5 1 7 1 2 6 3 3 6 5 1 2 3
"253" 253 13 3.72032958082855 7.72389616491273 6 4 6 3 7 5 6 7 5 3 5 3 6 7
"254" 254 13 5.54292796039954 8.74295265274122 6 5 3 2 4 4 6 7 4 2 4 2 2 1
"255" 255 13 5.1671503894031 6.94133601244539 2 3 1 7 7 3 5 6 6 4 1 2 1 3
"256" 256 13 1.56640002550557 9.80805593426339 3 1 4 2 6 7 4 6 3 6 7 6 5 6
"257" 257 13 5.93851519981399 5.65753246680833 3 2 4 5 3 7 1 3 5 3 2 3 5 6
"258" 258 13 6.44293436780572 7.02432304411195 5 7 2 7 4 6 3 3 3 2 5 2 4 7
"259" 259 13 3.68526374362409 3.28273728955537 4 6 2 7 5 6 6 2 2 3 2 7 7 4
"260" 260 13 1.68299237266183 2.38415907183662 3 3 4 2 4 5 3 5 4 2 6 5 6 5
"261" 261 14 2.32086325343698 9.59084925358184 1 3 3 4 5 5 3 4 5 7 1 7 7 1
"262" 262 14 6.45680049015209 6.11163352965377 3 1 7 2 4 1 7 3 2 7 7 4 5 4
"263" 263 14 2.81451374059543 8.21894088666886 5 6 4 3 7 4 2 4 5 7 6 3 4 1
"264" 264 14 5.58995925774798 10.144346466288 7 1 1 5 2 5 4 4 1 2 6 4 4 7
"265" 265 14 5.43066624784842 11.805104449857 7 3 4 2 7 7 3 2 6 4 6 1 1 2
"266" 266 14 2.50108809117228 5.34229370043613 5 1 3 5 5 2 5 5 5 5 2 1 1 5
